Whitelist id,Intersection id,Intersection name,Short description,Street,Number,Corner,Place of business,Bearing,Latitude,Longitude,Service id,Service name,Street view
15978,3456, & ,,,,NW,,-24.2111,-16.738082,-49.28831,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.738082,-49.28831,-24.2111h,0p,1z"
15979,3457, & ,,,,SE,,153.411,-16.737916,-49.285836,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.737916,-49.285836,153.411h,0p,1z"
15985,3461, & ,,,,NW,,-56.6997,-16.730932,-49.274335,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.730932,-49.274335,-56.6997h,0p,1z"
15987,3462, & ,,,,SE,,119.512,-16.7367,-49.282963,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.7367,-49.282963,119.512h,0p,1z"
15992,3464, & ,,,,SW,,-148.596,-16.718581,-49.283203,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.718581,-49.283203,-148.596h,0p,1z"
15999,3467, & ,,,,SE,,79.6106,-16.720307,-49.291128,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.720307,-49.291128,79.6106h,0p,1z"
16001,3467, & ,,,,NE,,-10.5999,-16.720171,-49.291217,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.720171,-49.291217,-10.5999h,0p,1z"
16007,3469, & ,,,,SW,,-126.072,-16.708254,-49.277075,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.708254,-49.277075,-126.072h,0p,1z"
16008,3470, & ,,,,SE,,78.9842,-16.707626,-49.280893,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.707626,-49.280893,78.9842h,0p,1z"
16010,3471, & ,,,,NW,,-57.5449,-16.725525,-49.268183,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.725525,-49.268183,-57.5449h,0p,1z"
16012,3473, & ,,,,SE,,108.5,-16.732695,-49.271912,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.732695,-49.271912,108.5h,0p,1z"
16013,3474, & ,,,,NW,,-52.9018,-16.724652,-49.269578,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.724652,-49.269578,-52.9018h,0p,1z"
16014,3475, & ,,,,SW,,160.017,-16.731406,-49.294008,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.731406,-49.294008,160.017h,0p,1z"
16017,3476, & ,,,,SW,,-100.624,-16.719577,-49.279175,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.719577,-49.279175,-100.624h,0p,1z"
16022,3478, & ,,,,SE,,79.2513,-16.712587,-49.29083,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.712587,-49.29083,79.2513h,0p,1z"
16026,3479, & ,,,,SW,,-125.388,-16.729622,-49.265818,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.729622,-49.265818,-125.388h,0p,1z"
16028,3480, & ,,,,SE,,123.682,-16.7242,-49.273924,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.7242,-49.273924,123.682h,0p,1z"
16030,3480, & ,,,,NW,,-55.1354,-16.723934,-49.274169,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.723934,-49.274169,-55.1354h,0p,1z"
16035,3482, & ,,,,SE,,79.1299,-16.722175,-49.293212,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.722175,-49.293212,79.1299h,0p,1z"
16043,3486, & ,,,,SE,,108.148,-16.724034,-49.28056,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.724034,-49.28056,108.148h,0p,1z"
